label,value,cnt
Kartric,"HP 151A Black Original LaserJet Toner Cartridge (~3,050 pages), W1510A; HP 151X Black Original LaserJet Toner Cartridge (~9,700 pages), W1510X",5
Tip,"1 q SFP copper transceiver, Instant On",1
Part number,412-AAYV,1
Radio,2×2:2 dual-band Wi-Fi 5,1
Part number,2E-HG300BK,1
Model,CM681,1
Ötürmə,166.66 Mpps,1
Part number,2E-SK150BL,1
Cavab müddəti,0.1 ms,1
Portlar,2 × 10/100 RJ45 + 6 × FXO + 2 × FXS,1
Növ,"2.5"" portativ xarici HDD (StoreJet 25M3, Iron Gray)",2
Uyğunluq,Evolve 20–65 (Evolve 20SE/30/30II/40/65),1
Part number,FON-480,1
Ölçülər (stend ilə),609.9 × 190.1 × 534.15 mm,1
Çəki,275 q,12
Tip,Dual-port 2.5GbE PCIe kart,1
Zəmanət,3 il Advanced Exchange + Premium Panel,1
Tip,A/b lazer MFP (print / copy / scan / fax),3
Number of speakers,2 speakers,3
Switching capacity,96 Gbps,1
Volume,0.0018 m³,2
Saxlama zolaqları,x16 (2×8 SlimSAS),1
Yaddaş,16 MB,1
Məlumat ötürmə,12 Gbit/s,7
Ethernet,"RJ-45, 10/100Base-T",1
Equipment,"keyboard and mouse / USB-receiver / batteries AA - 1 pc, AAA-1 pc",1
Matter,Yox,22
Part number,SDCG3/256GB,1
Model,EliteDisplay E233 (P/N: 1FH46AA),1
Seriya,Touchscreen TL7,1
Ölçü,128 × 68 × 44 mm,2
PSU,5 V/1A USB-C,2
Davamlı ötürmə,"270 MB/s / 257 MiB/s (davamlı, OD)",1
Tip,"FortiAP 231F — indoor Wi-Fi 6 Access Point, region E (ETSI)",1
Çıxış (5 V),3 A,8
Batareya,"3-hüceyrəli, 41 Wh",1
Ölçülər (yığılmış),681 × 553 × 65 mm,1
Sviçlər,Huano 10 m (10 milyon klik resurslu dözümlü sviçlər),1
Tam ad,HPE Intel Xeon Gold 6348,1
NGFW,3.1 Gbps,3
Prosessor,1 GHz Dual Core; 256 MB RAM,2
Dimensions ( HxWxD ),1092x116x604 mm,2
Model,CM448,1
Portlar,48 × 10/100/1000 PoE+,2
Rəng,Chalkboard Gray,1
Tətbiq,hotel / hospitality,5
İdarəetmə,GWN.Cloud / GWN Manager,5
Giriş qabı,150 Vərəq,13
Rəng (korpus),Cement,1
Part number,3G631A,1
Şəbəkə,"2 × 10/100/1000 (LAN + PC), PoE 802.3af",1
Çəki,690 q,1
Paralel,4 ədədə qədər,4
Güc,850 VA / 520 W,1
Batareya / adapter,10000 mAh,1
Aylıq yük,80000 səh/ay,5
Çəki,4.5 q,1
Layout,2 x 24 GB,4
Seriya,Razer DeathAdder V2 X HyperSpeed,1
Kabel,"2 m, 3×2.5 mm² H05VV-F",1
Çəki,3.51–3.77 kq (stend ilə) / 3.18 kq (stendsiz),1
Part number,AP128GAH25BB-1,1
Model,Lenovo ThinkVision P34 W-20,1
Protokollar,"PD 3.0, PPS, QC4+, QC3.0, SCP, FCP, AFC, Apple 5 V/2.4A, BC1.2",3
IPsec VPN (512 byte),6.5 Gbps,4
Portlar,16 × RJ-45 10/100/1000 Mbps,1
Ekran,"23.8"" Full HD (1920×1080) VA, anti-glare 250 nit 75 Hz",1
Təhlükəsizlik,"Ağıllı PWM çipi, qızmaya, yüksək gərginliyə və qısaqapanmaya qarşı çoxpilləli təhlükəsizlik sistemi",1
Part number,TS1TSJ25M3 q,1
Part number,CE712A,1
Part number,FG-91 q,1
Ekran ölçüsü,"31.6""",1
EAN,0197192348031,1
Əlavə xüsusiyyətlər,5MP kamera + IR; Dinamik,2
Çəki,70 q,1
Model,YNDX-00054PNK,1
Çəki,11 q,2
Portlar,"2× USB-A 10Gbps, 1× USB-C 10Gbps, HDMI, VGA, DisplayPort, RJ45 Gigabit",1
Part number,P08449-B21,1
Bağlantı,USB (3.5 mm monitor jack),1
Tutum,"20 endpoint, 4 VoIP trunk, 10 eyni anda zəng, 5 auto-attendant",1
Room Correction,Bəli (ekran mövqeyinə görə də),4
Çıxış,Hardwire + 4 × IEC C13 + 4 × IEC C19,2
Part number,210-BDDX,1
PLP,Bəli (Power Loss Protection),7
Hündürlük,76.2 mm,1
Form faktor,"Tower, 146 × 142 × 257.1 mm",1
SPD,Bəli (JEDEC),16
En,138 mm,1
Tip,"FortiAP 221E — indoor Wi-Fi 5 Wave 2 Access Point, region E",1
Dərinlik,273 mm,1
VESA,100 x 100 mm,2
Portlar,"USB-C dock, dual display, RJ45, USB-A/C",1
Model,Dell SE2422H,1
Bluetooth,Var,4
Part number,8T0M2EA,1
Çəki,"təxminən 2,1 kq",1
Çəki,təx. 1.61 kq,2
Çəki,453.59 q,1
Model,25089-999-799,1
Batareya / adapter,"80 Wh, 4 cell",1
Power consumption,150 W,1
Giriş gərginliyi,100-240 V,1
Ölçülər,38x103.5x66.8 mm,1
Qidalanma,802.3at PoE (PoE Adapter daxil deyil) və ya 12 V/1.5A DC.,1
Prosessor,Intel Core 5-210H | P-core 2.20 GHz,1
Ölçü (E×D×H),13.7 × 56.6 × 12.4 mm,1
Güc,40 W,3
Klient,Radioda 256-ya qədər; SSID: radioda 8 (background scan 7),1
Çəki,0.20 kq,1
Streams,4 Streams,1
Seriya,Amplon RT,1
RAM,"2 GB DDR4 UDIMM (1 slot, maks. 16 GB)",1
Sürətli şarj,"USB PD: 30 dəq = 4 saat iş, tam şarj 2,5 saat",4
Ekran,"14"" 2.8K OLED/IPS (2880×1800) sensorlu 400 nit 120 Hz",1
Bracket,Low-profile (flat + full-height dəstdə); qısa PCB (TVS-x82/TS-x77 slot 2/3),1
Part Number,7G7A3AA,1
Tip,"Desktop/hospitality Wi-Fi 5 AP + mini-gateway, Instant On AP11D",1
Seriya,Kingston A400,3
Part number,JL807A,1
Qrafika,RTX PRO 1000 Blackwell,1
Qida tipi,USB,3
Tip,Skaner,2
Part number,5E8J3EA,1
Starter,1 500 səh (106R02773 ailəsi),2
Düymələr,28 proqramlaşdırılan + 10 xüsusi funksiya + 4 soft key,1
Case type,Mini Tower,2
Yuvalar,"2 × 3.5""/2.5"" SATA 6Gb/s, hot-swap",3
İlk səhifə (rəng),16 san,2
Prosessor,"Qualcomm Snapdragon X Elite X1E-78100 (12 nüvə Oryon, 3.4 GHz, Adreno GPU, NPU 45 TOPS)",1
Tezlik,20 Hz – 40 kHz,1
Bağlantı,True Wireless Stereo (TWS),2
Model,HP ProBook 4 G1i 16,3
Model,LetraTag 91204 (S0721640 / 91224) Yaşıl Plastik Lent,1
Konnektor,Simplex LC,2
Ölçülər (U×E×H),340 × 247 × 317 mm,1
TBW,1752 TB,1
Protective functions,cushion pad,1
ADF,40 Vərəq,1
Total rated capacity,5 V x2,1
Dərinlik,5.3 mm,1
Model,Dell Mobile Wireless Mouse MS3320 W,1
Konnektor,Mini-SAS,1
Kağız,250 + 1 əl slotu; çıxış 150,3
Tip,Remote control aksesuarı,1
Simsiz şarj,1 × (var),1
Pult,YNDX-00402 komplektdə,4
Security level (DIN),4 (DIN),2
Model,HP 410A Yellow Original LaserJet Toner Cartridge,1
Sürət,Gigabit,1
Part number,21R1005WFW,1
Ölçülər,123 × 99 × 199 mm,3
Part number,2E-MF225WBK,1
The common frequency band,100 Hz - 20000 Hz,2
Model,PB560,1
Düymə sayı,110,1
Part number,2E-CBT6814BK,1
Ekran,"23.8"" Full HD (1920×1080) IPS/UWVA 250 nit 100 Hz",1
Bağlantı,HyperSpeed 2.4 GHz + Bluetooth 5.3 + USB-A,1
Qidalanma,100–240 V AC; max istehlak 220.5 W,1
Part number,V0L79AA,1
İş temperaturu,-10°C ~ +65°C,3
Xüsusiyyət,detachable shoulder strap fastens/detaches using carabiners,1
Part number,2E-HG355WT-7.1,1
Korpus materialı,plastic ABS,4
Type of converter,condenser,2
Part number,210-BBSD,1
Part number,B0VQ6EA,1
Giriş/çıxış,"200/208/220/230/240 Vac, 1:1 (1P)",1
Model,HP OfficeJet Pro 9720 Wide Format,1
Tip,AC pluggable enerji təchizatı modulu,1
Model,HP Omen 45L Gaming Desktop Tower,3
Çəki / ölçülər,4.1 kq (9.0 lbs) | 611.9x210.0x443.5 mm,1
TPM,Var,1
Çəki,8.10 kq,1
Wi-Fi,IEEE 802.11a/b/g/n/ac/ax · Dual-band (2.4 / 5 GHz),1
Faks,Yox,1
Model,Lenovo ThinkPad T14 Gen 7,2
Tip,Optik transiver (SR),2
Uyğunluq,"PlayStation 5, PC, Switch, Mac, mobil",1
Tezlik diapazonu,90–16 000 Hz,3
Bluetooth,5.3,11
Düymə ömrü,3,1
Qeyd,Instant Secure Erase; FastFormat 512e→4Kn; idle 6.9 W; 10–60 °C,1
Ölçülər (U×E×H),280 × 200 × 220 mm,1
DPI,1000 / 1600 / 2400 / 4000,1
Parlaqlıq / kontrast,250 nit / 1000:1,1
Çəki,1.05 kq,1
Ekran,"31.5"" Full HD (1920×1080) IPS/UWVA, anti-glare 300 nit 60 Hz",1
Part number,RZ03-03390200-R3M1,1
Standart,"1000BASE-LX, LC, SMF, 1310 nm",1
Model,Lenovo ThinkVision E27 q-40,1
Keçid tutumu,176 Gbps,15
Model,YNDX-00020-BLACK,1
Inputs,USB-C,1
Tip,IntelliSlot Unity şəbəkə kartı (SNMP),1
Quraşdırma,"kompakt metal korpus (rəsmi ölçü 19"" rack deyil)",1
Part number,2E-GC-HEB-BK,1
Surface,spray painting,2
Rəng,Qara korpus + narıncı qoruyucu ramka (qutu: narıncı),1
Batareya gərginliyi,±96 V,1
Təhlükəsizlik,"HTTPS, SNMPv3, RADIUS/TACACS+/LDAP/AD/Kerberos",1
Diaqonal,"24.5"" (62.2 sm) Fast IPS, 16:9, düz",1
Wi-Fi,"dual-band 2.4/5 GHz, 802.11ac",4
Komplekt,User's manual / acoustic system,3
Korpus,"Mini Tower / Midi Tower, qara",1
Dimensions. mm,392 x 22,1
Part Number,A2PB3AA,1
Əlaqə,"Wi-Fi 802.11 b/g/n, USB 2.0",1
Bağlantı,simsiz (2.4 q / Bluetooth — modelə görə),8
Ölçülər,154 × 26 × 13 mm,1
Autostart/stop,✔️,2
Faks,"Standart, 33.6 kbps, 6 MB faks yaddaşı",1
Part number,40BA0265EU,1
Əhatə dairəsi,360 m²-ə qədər fasiləsiz və ölü zonasız Wi-Fi sahəsi,1
Hündürlük,112 mm,1
Uyğunluq,HPE ProLiant DL345/DL380/DL385 Gen10 Plus (2U DL300 ailəsi),1
Sürətli şarj texnologiyası,GaN,4
Səth,Level 7 MoHS anti-glare / anti-fingerprint,1
"Çap sürəti (qara, draft)",17 səh/dəq,1
Part number,500S8AA,1
Çıxış,8 × IEC C13 + 2 × IEC C19 + 2 × IEC Jumpers,1
Model,X565,1
Çəki,"10,7 kq",1
Laptop Form Factor,"13.3""",1
Part number,2V9E6AA,1
SR-IOV,Bəli,1
Zəmanət,1 il (EnGenius Fit),8
Tip,6-bay AI tower NAS,1
Polar naxış,Cardioid / Bidirectional / Omnidirectional,1
Model,LetraTag 91203 (S0721630 / 91223) Qırmızı Plastik Lent,1
Kamera,FHD HDR kamera + mikrofon,2
Part number,7KW64A,1
Aksesuar,USB-C → USB-C kabel,3
Uyğunluq,Jabra PanaCast 50,2
Purpose,mounting of monitors,7
Package contents (varies by region),Warranty card / DisplayPort cable / Power supply unit / monitor / Instruction,1
Ölçülər,22x430x122 mm (klaviatura; 43x75x112 mm - siçan),1
Daxili batareya,yoxdur — BBU161B107035 Və s. ilə genişlənir,1
Part number,BE850G2-GR,1
Baxış bucaqları,178° / 178°,2
Ötürmə,77.38 Mpps,1
Tip,DDR3 SDRAM VLP (Aşağı profilli modul),1
Tip,True wireless earbuds (UC),2
Ekran,"480×320 (3.5"") Color LCD",2
Uyğunluq,"HPE Compute Mainstream Platforms, see QuickSpecs for more information",21
Bağlantı,"3.5 mm, USB, 2.4 GHz",1
Qeyd,"Standart model (ISE deyil); SuperParity; işçi 9.4 W, idle 5.16 W; 5–60 °C",1
Model,YNDX-00026PNK,1
Tezlik,1600 MHz (PC3-12800E),1
Uyğunluq,"PC, PS5, PS4, Xbox; NGENUITY",3
Model,GXV3450,1
Part number,RZ03-04702500-R3R1,1
DRAM,DRAM-less,7
Çəki,"2.5 q (microphone), 18 q (power module)",1
Gərginlik,1.35 V / 1.5 V,2
Rəng,bej,4
Qidalanma,"Daxili PSU, fansız",3
Tip,FortiFone receptionist/call-attendant IP telefon (cari rəsmi model: FON-580B),1
İnverter,Pure Sine Wave,5
Sürücü,50 mm dynamic,11
Portlar,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1); 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On; 2x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.0 and DisplayPort 2.1; 1x HDMI 2.1, up to 4K/60 Hz; 1x Headphone / microphone combo jack (3.5 mm); 1x Smart card reader; 1x Nano-SIM card slot (WWAN support models); Smart card reader, supports ISO 7816 and EMV; No smart card reader; NVMe password",4
EAN,0190017826394,1
Model,LP428,1
Part number,RZ03-03490700-R3R1,1
Acoustic system,Closed,1
Kağız,250 + 100 MPT (350); opsional 550; maks. 900; çıxış 150,2
Prosessor,"Intel Core Ultra 7 355 | 8C(4P+4LPE)/8T, turbo 4.7 GHz, 12MB cache",6
Model,SRV10KRIRK,1
Wi-Fi,"802.11 b/g/n/ac (2,4 Və 5 GHz)",20
Çəki,3.6 q,3
Giriş qabı,520 Vərəq,1
Part number,1X644AA,1
Barkod,6936686400855,1
Növ,"Portativ xarici SSD, 3D NAND flash, SLC Cache",2
Batareya,70 saata qədər,2
Uyğunluq,Windows / macOS / Linux,2
Konfiqurasiya,DNI — duplex + şəbəkə + Wi-Fi,8
Part number,2EDGEIF,1
Model,Dell Pro Max 16 Premium MC16250,1
Ölçülər,Ø 90 × 55 mm,5
Sürətlənmə,30 q,1
Giriş cərəyanı,1.8 A,3
Qidalanma,"daxili PSU, 100–240 V AC; max istehlak 10 W",1
Part number,JL813A,1
Portlar,48 × GbE RJ45 · 6 × SFP+,2
Giriş,"100–240 VAC, 50–60 Hz",1
Part number,FG-100F,1
DWPD,1,5
PoE,"130 W, IEEE 802.3af/at, port 1–8",1
Part number,BG7H4EA,1
Ölçü (E×D×H),75.5 × 132 × 37 mm,1
EAN,0196548061990,1
Part number,SRTG5KXLI,1
Konnektor 1,USB C,11
Standart,SR,2
Qeyd,"Standart model; SuperParity; işçi 11.03 W, idle 7.06 W; 5–60 °C",1
The rate of destruction,2 m/min,1
İnterfeys,SAS 24 Gb/s,2
Ölçü,442.5x132.5x36.39 mm,1
Ekran,"27"", IPS, 100 Hz",1
Çəki,102.38 q,1
Installation options,clamp / cross-cutting,1
Motherboard type,mini-ITX / micro-ATX,2
USB-C çıxış,10 V/2.25A · 5 V/3A · 9 V/3A · 12 V/2.5A · 15 V/2A · 20 V/1.5A,1
Part number,21QE0066FW,1
Tip,40 q QSFP+ DAC kabel,1
Giriş bağlantısı,IEC C20 (16 A),1
Güc,5.000 VA / 5.000 W (unity PF 1.0),1
Part number,TS250GESD270C,1
Tip,Korpus ventilyatoru,1
Model,CP-7961 q-GE (Hardware V01),1
Ölçü / çəki,"440 × 200 × 44 mm, 2.9 kq",1
MTBF,1 091 186 saat,1
LCD,Bəli,1
Towards,city style / business style / for travel,1
Model,CP-6921-C-K9 (Hardware V02),1
Dalğa,"850 nm, MMF",1
Ölçü (E×D×H),76 × 122 × 38 mm (3 × 4.8 × 1.5 in),1
Part Number,6H9B5AA,1
Part number,0231A6NC,1
Part number,TS-453E-8 q,1
Tip,"10 q copper transceiver, Instant On",1
Təyinat,Premium xarici məkan (küçə) Wi-Fi təhlükəsizlik kamerası,1
İdarəetmə,Analog termostat + On/Off işıqlı açar,1
Wi-Fi,"Wi-Fi 5 (802.11ac Wave 2), dual-band concurrent",4
Təyinat,Car,3
Batareya tipi,LiFePO₄ (LFP),1
EAN,0196188042489,1
Tip,"8-bay 2U short-depth rack NAS, redundant PSU",3
Sensor,optical,2
Part number,2Z8P4AA,1
"Çap sürəti (qara, ISO)",20 səh/dəq,5
Baxış bucağı,178°/178°,1
Seriya,Razer BlackShark V2 HyperSpeed,1
Ölçülər,"900 × 420 mm, 3 mm qalınlıq",1
Maximum perceived frequency,18 000 Hz,3
Genişlənmə,"1 × PCIe x16, 1 × PCIe x1, M.2 SSD, M.2 WLAN, SATA HDD yuvası",1
Portlar,48 × GE RJ45 + 4 × 10 q/1 q SFP+ + RJ45 konsol,2
Qeyd,Schneider-də bu SKU dayandırılıb; əvəzedici SRV2KI-E (2.000 VA / 1.800 W) tövsiyə olunur,1
Seriya,Yandex Stansiya Mini 3,4
Ölçü (E×D×H),600 × 1000 × 2006 mm (rəsmi datasheet),1
Part number,RZ01-05240200-R3G1,1
Radio / sürət,Radio 1: 2×2 2.4 GHz 574 Mbps; Radio 2: 2×2 5 GHz 1201 Mbps; Radio 3: 1×1 frequency scanning,1
Tutum,1TB,7
Notebook compartment (ShhVhT),41.5 x 33.5 x 4,1
Tip,Executive topload / briefcase noutbuk çantası,1
Çıxış qabı,100 Vərəq,16
Part number,455883-B21,1
Model,Lenovo ThinkVision T27i-30,1
Part number,40AWGN65EU,1
Batareya,≥ 80 saat; şarj ~4 saat,2
Part number,540-BCOQ,1
"Çap sürəti (rəng, ISO)",60 səh/dəq,1
Part number,A33HKEA,1
Ölçülər,418 × 419.1 × 341.3 mm,3
Xətlər / SIP,4 line keys · 2 SIP accounts,1
Çəki,"32,1 kq (70.7 lb)",1
Genişlənmə,xarici batareya paketləri (məs. SRT192RMBP2),1
Çəki,0.05 kq,1
Komplekt,"HDMI, qida, USB Touch, 2× stylus, pult, maqnit silgi, 5× NFC kart",7
Tip,Ruggedized DECT IP Phone,1
Part number,2E-MG355UBK-WL,1
Part number,4ZB94A,1
Tip,"FortiGate 121 q-LENC — 1U NGFW + SD-WAN + SSD, Low Encryption SKU",1
Diaqonal,"27""",1
Part number,460-BBUL,1
Yaddaş,1TB PCIe NVMe SSD,1
Part number,R8N87A,1
Xüsusiyyətlər,Quiet keys; spill resistant; CoPilot hotkey,1
Part number,KVR32N22D8/32,1
Wi-Fi standartları,"802.11a, 802.11b, 802.11 q, Wi-Fi 4 (802.11n), Wi-Fi 5 (802.11ac)",1
Şəbəkə,"Wi-Fi 6E, BT 5.3, Ethernet",2
Kart oxuyucu,Xeyr,2
Part Number,A59YZAA,1
Part number,94F46AA,1
Tip,simsiz productivity siçan,1
Çəki,250 q,1
Qidalanma,"USB Type-C, 5 V / 2 A",11
Xətt sayı,"2 müstəqil SIP xətti / hesabı, 4 kontekstual soft-key",1
Model,HP Desktop 290 G9 Pro Tower,6
EAN,4514953847682,1
Ekran,"2"" IPS arxa (toxunma yoxdur) + 0.96"" ön status ekranı",1
Tip,10 q SFP+ DAC (direct attach copper),2
Səs,<55 dBA (arxa),1
Form faktor,LFF,3
Random yazma (4KB),22500 IOPS,1
"Çap sürəti (rəng, ISO)",21 səh/dəq,1
İnterfeys,PCIe 3.0 NVMe,1
AWG,32,1
Ölçülər,40x72x106,2
Dərinlik,11 mm,1
Part number,B310V_DNI,1
Audio kodekləri,"Genişzolaqlı HD səs (G.722, iSAC), G.711a/u, G.729a/b",2
HDMI Ethernet,Bəli,5
Giriş,IEC C14 · nominal 230 VAC,1
Part number,P26427-B21,1
Frequency,20 Hz – 20 kHz (music),2
Çap sürəti,24 ppm Letter / 22 ppm A4 (rəng və a/b),1
Part number,RZ03-05130100-R3M1,1
PoE,"IEEE 802.3at High Power, 48 PoE port, ümumi büdcə 375 W",1
Volume,0.0017 m³,2
Ön qapı,"Təkqanadlı polad, 63% perforasiya, kilid, ~130° açılış",1
Kapasitet,504 Wh,1
EAN,0196548333479,1
Form faktor,260-pin SODIMM,7
Kontrast,1000:1,9
Ölçülər,62 × 93 × 147 mm,1
Output frequency,50-60,5
Cərəyan / güc,32 A / 8000 W (250 V),5
EAN,4514953794061,1
Material,"nylon water repellent in combination with the bottom damping material will serve as an excellent protection for your laptop, loop carabiners and zippers metal",1
Siçan geri nəzarəti,bəli,1
Part number,21WT0059FW,1
Akkumulyator,Daxili 1000 mAh təkrar doldurulan batareya,1
Uyğunluq,HPE ProLiant Gen10 Plus / Gen11 (Network Choice OCP yuvası),1
Part number,CF351A,1
Klaviatura,rəqəm bloku,6
Çəki,7.38 kq,1
Part number,006R04764,1
LED işıq,Üst paneldə 16 mln rəng kontur işığı,5
Təyinat,Masaüstü fərdi kompüterlər (Desktop PC).,1
Simsiz şarj,2 × 15 W Max.,1
PoE,"1 × 2.5GbE LAN PoE+ (IEEE 802.3af/at), port P1",1
Ekran,"15.6"" FHD (1920×1080), 120 Hz",3
Aylıq yük,200000 səh/ay,1
Model,LS1005 (LiteWave 5-Port 10/100 m Desktop Switch),1
Part number,R2J63A,1
Ölçü,119 × 64 × 41 mm,1
Qrafika,RTX PRO 2000 8GB,1
Standart,IEEE 802.11ax/ac/n (Wi-Fi 6),1
Səs gücü,12 Vt,4
Batareya,3000 mAh Li-ion,1
Çəki,8.72 q,2
Model,YNDX-00025-GREEN,1
Su keçirməzlik,IP67,1
Part number,161-BBPH,1
Batareya,VRLA · 2 × 8 × 12 V × 9 Ah,1
Məsafə,550 m (multi-mode),1
Notebook compartment (ShhVhT),35.4x26.8x3.6 cm,1
Part number,FVE-100E,1
Ölçülər,99.8 × 98 × 25 mm,2
Qoruma,Overheating,2
Bağlantı,Bluetooth + Jabra Link 380c (USB-C) MS adapter,3
Anten,"2 × inteqrasiya olunmuş omni, TX 23 dBm (2.4/5 GHz)",1
EAN,0197192348017,1
Stereocüt,Bəli (iki Layt 1-ci nəsil),5
Part number,18H24AA,1
Ölçü,52.7 × 17 × 8.2 mm,3
Format,75% (81 düymə),1
PoE,139 W Class 4,1
Model,PB561,1
Məhsul tipi,HDD/SSD enclosure,1
Part number,B85P1EA,1
Akselerasiya,"SP5 ASIC, TPM; PoE üçün 54 V adapter",1
Part number,2E-KG325UB,1
Part number,2E-CBN5216BK,1
Eyni anda TCP sessiyalar,700 000,4
Yazma sürəti,495 MB/s,1
Sertifikat,"CE, FCC, BSMI, EAC",1
Tip,Fit Layer 2+ Gigabit PoE+ kommutator (EnGenius FitSwitch 24 Full PoE),1
Rail kit,Daxil deyil (RMKIT18-32 ayrı satılır),1
Model,Lenovo 65 W USB-C Wall Adapter,1
Tam ad,HPE DL300 Gen10 Plus 2U 8SFF x1 Tri-Mode 24 q U.3 BC Front Drive Cage Kit,1
Kabel,1.8 metr elastik parça toxumalı USB kabel,1
Konnektor,"USB Type-A dişi, 10 000 plug/unplug testi",17
Key Features,conductor material: copper / automatic power switch / grounding indicator / protection indicator,1
Şəbəkə standartları,"IEEE 802.3, IEEE 802.3ab, IEEE 802.3u",1
Çıxış,4× Mini DisplayPort,2
Zəmanət,2 il (HPE Instant On AP),1
Batareya,Dəyişilən Li-Ion; rəsmi ~50 dəq 4K yazı. Dəstdə 2 batareya + şarj qutusu,1
Qeyd,addlink D60 (ad1920GBD60M2P) deyil — P/N B100P-dir; D60 spec-i qarışdırılmayıb,1
Part number,460-BFDD,1
Part number,ad2TBP50DK,1
RAM (bu konfiq),"8 GB (1 × 8 GB) DDR4-3200 SO-DIMM, tək kanal; 2 yuva, maks. 32 GB",1
Yaddaş,1TB PCIe-4x4 2280 SSD,6
Form faktor,Desktop,2
Tip,FortiGate 40F — desktop NGFW + SD-WAN,1
Model,Alienware AW2725DF,1
Part number,57Y4303,1
Çıxış,150 Vərəq,1
Qidalanma,1×AA (və ya AAA adapter),2
Part Number,BS1T5AA,1
Part number,RZ02-03332300-R3M1,1
Model,Dell 2.4TB 10K RPM SAS ISE 12Gbps 512e 2.5in Hot-plug Hard Drive 3.5in HYB CARR,1
Key Features,2 USB ports tip A cihazların şarj edilməsi üçün / LED indicator / fire-resistant casing,1
Format,Full-size 108 düymə,1
EAN,4549821402403,1
Yaddaş,"1 TB SSD NVMe, TLC",1
USB,USB-A (konfiqurasiya),1
Məhsul tipi,Headphones,2
Prosessor,"Intel Core Ultra 7 258 V | 8C(4P+4LPE)/8T, turbo 4.8 GHz",1
Çəki,293 q,1
Enerji,"230 W (standby 0,5 W)",1
HDMI,1 × HDMI 1.4b (4K30),1
Güc,6.000 VA / 6.000 W,1
Tətbiq,Ofis / UC,1
Çəki / ölçülər,Starting at 1.60 kq (3.53 lbs),1
Şəbəkə,Broadcom BCM57412 10Gb 2-port SFP+ OCP3 (Network Choice),1
Prosessor,"Intel Core Ultra 5 225U | 12C(2P+8E+2LPE)/14T, turbo 4.8 GHz",3
Uyğunluq,"PC, PS5, Nintendo Switch, Mac, mobil; NGENUITY",1
Kommunikasiya,"Mini Slot ×2, USB, RS-232, dry contact, REPO",2
İdarəetmə və funksiyalar,"Ruijie Cloud App və Web GUI vasitəsilə məsafədən ömürlük pulsuz bulud idarəetməsi, STP/RSTP, IGMP Snooping, Port Isolation, Loop Prevention, DHCP Snooping",1
Part number,SEDC1000BM8/960 q,1
EAN,0196188048702,1
"Çap sürəti (qara, draft)",20 səh/dəq,1
Əlavə xüsusiyyətlər,ThinkPad X12 Tablet Protective Case,1
Model,HP E32k G5 4K,1
Şəbəkə,Gigabit Ethernet (10/100/1000),1
Firewall (1518/512/64 byte UDP),10 / 10 / 7 Gbps,2
Part number,RZ01-04650100-R3M1,1
Tezlik,80 - 20000,5
Konnektor 2 forma,Straight,21
Tip,"IEEE 802.3at PoE midspan injektor, Instant On",1
Konnektor,SFP+ → SFP+,2
Çəki,3.47 kq,1
Volume,0.0011 m³,2
EAN,0197029611727,1
Model,HP EliteBook x360 1040 G10,1
Tezlik,3200 MHz / 3200 MT/s,5
Portlar və interfeyslər,"1 × HDMI 1.4, 1 × VGA (D-Sub), Audio çıxış (3.5 mm)",1
Tip,IP Video Phone,1
Part number,63D7UAT3EU,1
Dinamik,"2 genişzolaqlı 15 Vt / 63,5 mm + 2 passiv radiator (49,6 × 125,5 mm)",3
Çəki,"70,8 kq",1
Korpus,OCP3.0,1
Part number,2E-BPN6316BK,1
Model,SRTG10KXLI,1
Tip,"FortiGate 100F — 1U NGFW + SD-WAN, dual PSU",1
Ümumi güc,38 W,1
Tip,"FortiGate 121 q — 1U NGFW + SD-WAN, dual AC + SSD",1
Mounting type,classic (tower),5
Çəki,99 q,2
PoE / qidalanma,IEEE 802.3at PoE+; max 15.9 W,2
Part number,2E-SP515M5BK,1
İlk səhifə (rəng),17 san,1
SLC cache,SLC 25GB,1
Part number,BZ2X3EA,1
Montaj,desktop,2
Part number,8AF71A,1
Kontroller,SMI SM2508,3
"Internal compartments 3.5""",2 pcs (1),2
Volume,0.0036 m³,2
Ekran,"5,59 cm (2.2"")",2
Model,HP Color LaserJet Pro MFP M183fw,1
Tip,Cloud idarə olunan tavan Access Point (EnGenius Cloud),4
Buffer,Unbuffered,15
Zəmanət,Limited Lifetime (Fortinet hardware),17
RAID dəstəyi,"PERC H345/H745/H755, HBA355i, S150",2
Təkər,"fırlanan, əyləcli",1
Məsafə,30 m-ə qədər,1
Təhlükəsizlik,"WEP/WPA/WPA2/WPA3, IEEE 802.1X, RADIUS, MAC filter, rogue AP",1
Ölçü,940 × 410 × 3 mm,1
Dimensions ( HxWxD ),225x125x380 mm,1
Seriya,Vertiv Liebert GXE3,1
Çəki,970 q,2
Çəki,2.48 kq,1
HDMI versiya,1.4,1
Part Number,8R2E7AA,1
Ekran,"15.6"" Full HD (1920×1080) VA, anti-glare 250 nit",3
Həll (qara),1200 x 1200 dpi,23
Ölçü,120 × 63 × 41 mm,1
Bağlantı,"Wired, USB",14
Düymə sayı,84 pcs,1
Batareya,90 saata qədər (işıq sönülü),2
Model,MF211 (2E-MF211WR),1
Part Number,GXT5-10KIRT5UXLE,1
